run_id,label,n,ods,gap_var,first_half_ods
cpu_att_000,BASELINE,20,0.036842,0.720222,0.088889
cpu_att_001,BASELINE,20,0.021053,0.337950,0.066667
cpu_att_002,BASELINE,20,0.036842,0.864266,0.111111
cpu_att_003,BASELINE,20,0.010526,0.132964,0.000000
cpu_att_004,BASELINE,20,0.057895,1.673130,0.111111
cpu_att_005,BASELINE,20,0.031579,0.980609,0.133333
cpu_att_006,BASELINE,20,0.026316,0.459834,0.066667
cpu_att_007,BASELINE,20,0.026316,1.196676,0.000000
cpu_att_008,BASELINE,20,0.026316,0.670360,0.088889
cpu_att_009,BASELINE,20,0.047368,3.988920,0.155556
cpu_att_010,BASELINE,20,0.021053,0.454294,0.022222
cpu_att_011,BASELINE,20,0.031579,1.191136,0.111111
cpu_att_012,BASELINE,20,0.015789,0.193906,0.044444
cpu_att_013,BASELINE,20,0.052632,1.157895,0.133333
cpu_att_014,BASELINE,20,0.005263,0.049861,0.000000
cpu_att_015,BASELINE,20,0.021053,0.443213,0.022222
cpu_att_016,BASELINE,20,0.026316,0.459834,0.022222
cpu_att_017,BASELINE,20,0.021053,0.443213,0.044444
cpu_att_018,BASELINE,20,0.010526,0.166205,0.022222
cpu_att_019,BASELINE,20,0.036842,0.759003,0.111111
cpu_att_020,BASELINE,20,0.000000,0.000000,0.000000
cpu_att_021,BASELINE,20,0.021053,0.548476,0.022222
cpu_att_022,BASELINE,20,0.010526,0.166205,0.022222
cpu_att_023,BASELINE,20,0.042105,1.850416,0.155556
cpu_att_024,BASELINE,20,0.015789,0.299169,0.044444
cpu_att_025,BASELINE,20,0.021053,0.559557,0.000000
cpu_att_026,BASELINE,20,0.042105,0.764543,0.111111
cpu_att_027,BASELINE,20,0.052632,0.947368,0.111111
cpu_att_028,BASELINE,20,0.005263,0.094183,0.022222
cpu_att_029,BASELINE,20,0.063158,5.113573,0.088889
cpu_att_030,BASELINE,20,0.021053,0.653740,0.066667
cpu_att_031,BASELINE,20,0.031579,0.864266,0.088889
cpu_att_032,BASELINE,20,0.042105,1.036011,0.111111
cpu_att_033,BASELINE,20,0.047368,0.936288,0.088889
cpu_att_034,BASELINE,20,0.036842,1.878116,0.133333
cpu_att_035,BASELINE,20,0.021053,0.443213,0.044444
cpu_att_036,BASELINE,20,0.021053,0.664820,0.088889
cpu_att_037,BASELINE,20,0.057895,10.343490,0.000000
cpu_att_038,BASELINE,20,0.021053,0.216066,0.044444
cpu_att_039,BASELINE,20,0.026316,0.354571,0.066667
cpu_att_040,BASELINE,20,0.010526,0.132964,0.022222
cpu_att_041,BASELINE,20,0.036842,0.664820,0.022222
cpu_att_042,BASELINE,20,0.026316,0.670360,0.088889
cpu_att_043,BASELINE,20,0.015789,0.299169,0.022222
cpu_att_044,BASELINE,20,0.015789,0.166205,0.022222
cpu_att_045,BASELINE,20,0.031579,0.459834,0.022222
cpu_att_046,BASELINE,20,0.047368,1.501385,0.111111
cpu_att_047,BASELINE,20,0.036842,0.670360,0.022222
cpu_att_048,BASELINE,20,0.031579,0.653740,0.066667
cpu_att_049,BASELINE,20,0.036842,0.825485,0.111111
cpu_att_050,BASELINE,20,0.052632,3.191136,0.022222
cpu_att_051,BASELINE,20,0.057895,0.947368,0.088889
cpu_att_052,BASELINE,20,0.042105,2.764543,0.133333
cpu_att_053,BASELINE,20,0.010526,0.132964,0.022222
cpu_att_054,BASELINE,20,0.031579,0.759003,0.111111
cpu_att_055,BASELINE,20,0.015789,0.531856,0.000000
cpu_att_056,BASELINE,20,0.015789,0.193906,0.044444
