run_id,label,n,ods,gap_var,first_half_ods,scrub_window,scrub_seed
mem_ovh_000,MEM_OVH,20,0.252632,6.038781,0.600000,12,42
mem_ovh_001,MEM_OVH,20,0.257895,7.301939,0.600000,12,42
mem_ovh_002,MEM_OVH,20,0.263158,6.653740,0.600000,12,42
mem_ovh_003,MEM_OVH,20,0.278947,6.509695,0.622222,12,42
mem_ovh_004,MEM_OVH,20,0.257895,6.404432,0.577778,12,42
mem_ovh_005,MEM_OVH,20,0.273684,6.404432,0.644444,12,42
mem_ovh_006,MEM_OVH,20,0.257895,6.864266,0.600000,12,42
mem_ovh_007,MEM_OVH,20,0.263158,6.144044,0.600000,12,42
mem_ovh_008,MEM_OVH,20,0.268421,6.443213,0.600000,12,42
mem_ovh_009,MEM_OVH,20,0.273684,6.448753,0.600000,12,42
mem_ovh_010,MEM_OVH,20,0.263158,6.565097,0.600000,12,42
mem_ovh_011,MEM_OVH,20,0.263158,6.980609,0.622222,12,42
mem_ovh_012,MEM_OVH,20,0.263158,6.775623,0.577778,12,42
mem_ovh_013,MEM_OVH,20,0.247368,6.033241,0.555556,12,42
mem_ovh_014,MEM_OVH,20,0.252632,6.404432,0.555556,12,42
mem_ovh_015,MEM_OVH,20,0.273684,7.085873,0.600000,12,42
mem_ovh_016,MEM_OVH,20,0.273684,6.299169,0.600000,12,42
mem_ovh_017,MEM_OVH,20,0.268421,6.969529,0.622222,12,42
mem_ovh_018,MEM_OVH,20,0.273684,7.495845,0.622222,12,42
mem_ovh_019,MEM_OVH,20,0.268421,6.509695,0.600000,12,42
mem_ovh_020,MEM_OVH,20,0.263158,5.878116,0.600000,12,42
mem_ovh_021,MEM_OVH,20,0.268421,6.509695,0.600000,12,42
mem_ovh_022,MEM_OVH,20,0.263158,6.775623,0.600000,12,42
mem_ovh_023,MEM_OVH,20,0.257895,6.232687,0.600000,12,42
mem_ovh_024,MEM_OVH,20,0.273684,5.878116,0.622222,12,42
mem_ovh_025,MEM_OVH,20,0.273684,7.191136,0.600000,12,42
mem_ovh_026,MEM_OVH,20,0.257895,6.321330,0.622222,12,42
mem_ovh_027,MEM_OVH,20,0.242105,5.933518,0.555556,12,42
mem_ovh_028,MEM_OVH,20,0.268421,6.742382,0.622222,12,42
mem_ovh_029,MEM_OVH,20,0.268421,6.443213,0.600000,12,42
mem_ovh_030,MEM_OVH,20,0.268421,6.559557,0.577778,12,42
mem_ovh_031,MEM_OVH,20,0.263158,6.670360,0.577778,12,42
mem_ovh_032,MEM_OVH,20,0.268421,7.301939,0.600000,12,42
mem_ovh_033,MEM_OVH,20,0.257895,6.060942,0.577778,12,42
mem_ovh_034,MEM_OVH,20,0.273684,6.299169,0.600000,12,42
mem_ovh_035,MEM_OVH,20,0.268421,5.667590,0.600000,12,42
mem_ovh_036,MEM_OVH,20,0.263158,6.825485,0.600000,12,42
mem_ovh_037,MEM_OVH,20,0.263158,5.501385,0.577778,12,42
mem_ovh_038,MEM_OVH,20,0.268421,7.091413,0.622222,12,42
mem_ovh_039,MEM_OVH,20,0.263158,6.238227,0.577778,12,42
mem_ovh_040,MEM_OVH,20,0.257895,5.850416,0.600000,12,42
mem_ovh_041,MEM_OVH,20,0.268421,6.637119,0.577778,12,42
mem_ovh_042,MEM_OVH,20,0.273684,6.930748,0.622222,12,42
mem_ovh_043,MEM_OVH,20,0.257895,5.916898,0.600000,12,42
mem_ovh_044,MEM_OVH,20,0.263158,7.495845,0.600000,12,42
mem_ovh_045,MEM_OVH,20,0.268421,5.667590,0.600000,12,42
mem_ovh_046,MEM_OVH,20,0.268421,6.565097,0.622222,12,42
mem_ovh_047,MEM_OVH,20,0.257895,6.216066,0.600000,12,42
mem_ovh_048,MEM_OVH,20,0.273684,6.770083,0.600000,12,42
mem_ovh_049,MEM_OVH,20,0.263158,6.864266,0.600000,12,42
mem_ovh_050,MEM_OVH,20,0.252632,6.559557,0.577778,12,42
mem_ovh_051,MEM_OVH,20,0.273684,6.448753,0.600000,12,42
mem_ovh_052,MEM_OVH,20,0.268421,6.138504,0.600000,12,42
mem_ovh_053,MEM_OVH,20,0.263158,6.509695,0.577778,12,42
mem_ovh_054,MEM_OVH,20,0.268421,7.058172,0.622222,12,42
mem_ovh_055,MEM_OVH,20,0.273684,6.299169,0.600000,12,42
mem_ovh_056,MEM_OVH,20,0.268421,5.745152,0.622222,12,42
mem_ovh_057,MEM_OVH,20,0.273684,6.110803,0.644444,12,42
mem_ovh_058,MEM_OVH,20,0.268421,6.880886,0.600000,12,42
mem_ovh_059,MEM_OVH,20,0.273684,6.299169,0.600000,12,42
mem_ovh_060,MEM_OVH,20,0.268421,6.614958,0.600000,12,42
mem_ovh_061,MEM_OVH,20,0.268421,6.509695,0.600000,12,42
mem_ovh_062,MEM_OVH,20,0.273684,6.376731,0.622222,12,42
mem_ovh_063,MEM_OVH,20,0.247368,6.653740,0.555556,12,42
mem_ovh_064,MEM_OVH,20,0.268421,7.074792,0.622222,12,42
mem_ovh_065,MEM_OVH,20,0.257895,6.986150,0.577778,12,42
mem_ovh_066,MEM_OVH,20,0.273684,7.301939,0.622222,12,42
mem_ovh_067,MEM_OVH,20,0.257895,6.005540,0.600000,12,42
mem_ovh_068,MEM_OVH,20,0.268421,6.166205,0.600000,12,42
mem_ovh_069,MEM_OVH,20,0.273684,6.299169,0.600000,12,42
mem_ovh_070,MEM_OVH,20,0.263158,6.770083,0.577778,12,42
mem_ovh_071,MEM_OVH,20,0.252632,6.986150,0.577778,12,42
mem_ovh_072,MEM_OVH,20,0.284211,6.864266,0.644444,12,42
mem_ovh_073,MEM_OVH,20,0.268421,6.930748,0.600000,12,42
mem_ovh_074,MEM_OVH,20,0.257895,6.349030,0.577778,12,42
mem_ovh_075,MEM_OVH,20,0.263158,6.548476,0.600000,12,42
mem_ovh_076,MEM_OVH,20,0.273684,5.878116,0.622222,12,42
mem_ovh_077,MEM_OVH,20,0.278947,6.764543,0.622222,12,42
mem_ovh_078,MEM_OVH,20,0.273684,6.448753,0.600000,12,42
mem_ovh_079,MEM_OVH,20,0.257895,6.426593,0.555556,12,42
mem_ovh_080,MEM_OVH,20,0.273684,6.587258,0.622222,12,42
mem_ovh_081,MEM_OVH,20,0.268421,6.637119,0.577778,12,42
mem_ovh_082,MEM_OVH,20,0.268421,6.304709,0.600000,12,42
mem_ovh_083,MEM_OVH,20,0.257895,6.930748,0.577778,12,42
mem_ovh_084,MEM_OVH,20,0.273684,6.448753,0.600000,12,42
mem_ovh_085,MEM_OVH,20,0.263158,5.534626,0.600000,12,42
mem_ovh_086,MEM_OVH,20,0.273684,6.299169,0.600000,12,42
mem_ovh_087,MEM_OVH,20,0.273684,6.299169,0.600000,12,42
mem_ovh_088,MEM_OVH,20,0.268421,6.659280,0.600000,12,42
mem_ovh_089,MEM_OVH,20,0.278947,6.509695,0.622222,12,42
mem_ovh_090,MEM_OVH,20,0.268421,6.443213,0.600000,12,42
mem_ovh_091,MEM_OVH,20,0.263158,7.196676,0.600000,12,42
mem_ovh_092,MEM_OVH,20,0.268421,5.667590,0.600000,12,42
mem_ovh_093,MEM_OVH,20,0.278947,6.864266,0.644444,12,42
mem_ovh_094,MEM_OVH,20,0.263158,6.238227,0.577778,12,42
mem_ovh_095,MEM_OVH,20,0.268421,6.559557,0.577778,12,42
mem_ovh_096,MEM_OVH,20,0.257895,6.548476,0.600000,12,42
mem_ovh_097,MEM_OVH,20,0.273684,6.299169,0.600000,12,42
mem_ovh_098,MEM_OVH,20,0.268421,7.301939,0.600000,12,42
mem_ovh_099,MEM_OVH,20,0.252632,6.354571,0.577778,12,42
